"REFERENCE","ADDRESS","CATEGORY","LISTED","COUNCIL","PARISH"
"51882","CAMERORIE, STAMFORD COTTAGE","C","24/02/2012","HIGHLAND","GRANTOWN ON SPEY"
"51859","HOUSE OF FALKLAND ESTATE, TUNNEL ON PATH ALONG MASPIE BURN","B","21/12/2011","FIFE","FALKLAND"
"51848","UNIVERSITY OF GLASGOW, GILMOREHILL CAMPUS, SOUTH TERRACE, LORD KELVIN'S SUNDIAL","B","01/12/2011","GLASGOW, CITY OF","GLASGOW"
"51832","LOCHABER HYDROELECTRIC SCHEME AND ALUMINIUM SMELTER, LOCH TREIG DAM","B","14/11/2011","HIGHLAND","KILMONIVAIG"
"51826","CULZEAN CASTLE ESTATE, MAIN DRIVE WALL INCLUDING PIERS","C","02/11/2011","SOUTH AYRSHIRE","KIRKOSWALD"
"51802","NORTH BOUNDARY WALLS, GATES AND RAILINGS TO QUARTER PRIMARY SCHOOL","C","02/09/2011","SOUTH LANARKSHIRE","HAMILTON"
"51795","NORTH STREET, THE BIRDS","C","09/08/2011","FIFE","MARKINCH"
"51787","BRODICK CASTLE ESTATE, MAIN GATES AND ENTRANCE DRIVE","B","22/07/2011","NORTH AYRSHIRE","KILBRIDE"
"51769","EAST LOMOND LIMEKILN","B","08/07/2011","FIFE","FALKLAND"
"51749","LOCH RANNOCH, KILLICHONAN, GRIANAN","B","03/06/2011","PERTH AND KINROSS","FORTINGALL"
"51742","KELSO RACECOURSE, GRANDSTAND","A","11/05/2011","SCOTTISH BORDERS","KELSO"
"51735","4 ROGART STREET, GLASGOW METROPOLITAN COLLEGE, ROGART STREET CAMPUS, (FORMER MAVOR & COULSON STORES BUILDING)","C","25/03/2011","GLASGOW, CITY OF","GLASGOW"
"51720","FALLS OF CLYDE, STONEBYRES POWER STATION WEIR AND BRIDGE","A","11/02/2011","SOUTH LANARKSHIRE","LANARK"
"51718","TUMMEL, GARRY HYDRO ELECTRIC SCHEME, ERROCHTY POWER STATION, INCLUDING BOUNDARY WALL","B","11/02/2011","PERTH AND KINROSS","FORTINGALL"
"51705","CONON VALLEY, HYDRO ELECTRIC SCHEME, ACHANALT POWER STATION AND DAM, INLCUDING FISH PASS","C","11/02/2011","HIGHLAND","CONTIN"
"51690","SLOY AWE HYDRO ELECTRIC SCHEME, SRON MOR POWER STATION","C","11/02/2011","ARGYLL AND BUTE","GLENORCHY AND INISHAIL"
"51687","BEN CRUACHAN HYDRO ELECTRIC SCHEME, CRUACHAN DAM","B","11/02/2011","ARGYLL AND BUTE","ARDCHATTAN AND MUCKAIRN"
"51682","DUNMORE VILLAGE, PUMP","B","25/01/2011","FALKIRK","AIRTH"
"51642","ROSEMOUNT, WOODLANDS ROAD, THE SHIAN INCLUDING GATE","B","23/11/2010","PERTH AND KINROSS","BLAIRGOWRIE"
"51631","WEST LINTON, CARLOPS ROAD, LYNEHURST","C","04/11/2010","SCOTTISH BORDERS","LINTON"
"51623","GREENSIDE STREET, ELIM PENTECOSTAL CHURCH (FORMERLY GREENSIDE MISSION CHAPEL)","C","28/10/2010","CLACKMANNAN","ALLOA"
"51612","NEAR WELLFORD BRIDGE, FINGERPOST","C","05/10/2010","ANGUS","FERN"
"51603","HALLYBURTON ESTATE, GARAGE AND GAME LARDERS","C","05/10/2010","PERTH AND KINROSS","KETTINS"
"51596","COREHOUSE STABLE COURT INCLUDING GATEPIERS AND BOUNDARY WALL","B","16/09/2010","SOUTH LANARKSHIRE","LESMAHAGOW"
"51579","1 BANK STREET AND 19, 21 KIRK WYND, FORMER CO-OPERATIVE DEPARTMENT STORE","C","22/07/2010","FALKIRK","FALKIRK"
"51577","WEST STIRLING STREET, FORMER DALMORE SCHOOL INCLUDING ANCILLARY BUILDING, BOUNDARY WALLS, GATEPIERS, GATES AND RAILINGS","C","24/07/2010","CLACKMANNAN","ALVA"
"51566","NEWTON ST BOSWELLS, NEWTOWN PARISH CHURCH (CHURCH OF SCOTLAND) INCLUDING BOUNDARY WALLS AND RAILINGS (FORMER UNITED PRESBYTERIAN)","C","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51565","NEWTON ST BOSWELLS, AUCTION MART, LIVESTOCK RING","B","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51562","GATTONSIDE, BAKERS ROAD, HASSENDEAN COTTAGE","B","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51558","EILDON HALL, GARDEN HOUSE AND WALLED GARDEN","C","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51550","SOUTH TRINITY ROAD, LAMP STANDARD","B","27/05/2010","EDINBURGH, CITY OF","EDINBURGH"
"51530","BARRHILL, BLACK CLAUCHRIE HOUSE, INCLUDING COURTYARD WALL AND OUTBUILDINGS","C","29/03/2010","SOUTH AYRSHIRE","BARR"
"51529","CORNER OF GREAT GEORGE STREET AND CECIL STREET, EDWARD VIII POST BOX","B","24/03/2010","GLASGOW, CITY OF","GLASGOW"
"51504","EASTER BALMORAL, CRAIG GOWAN INCLUDING OUTBUILDING","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51500","BALMORAL CASTLE, WORKSHOPS/STORES","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51483","BALMORAL CASTLE. OBELISK TO QUEEN VICTORIA","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51475","BALMORAL CASTLE, GARDEN COTTAGE","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51464","BALMORAL CASTLE, CHAMOIS DEER STATUE AND FOUNTAIN ON WESTERN PARTERRE","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51466","BALMORAL CASTLE, THE CROFT, EAGLE HOUSE","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51506","EASTER BALMORAL, CRAIGLOURIGAN COTTAGE","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51444","7 BROOMPARK CIRCUS, BROOMPARK DAY NURSERY INCLUDING BOUNDARY WALLS AND GATEPIERS","C","12/03/2010","GLASGOW, CITY OF","GLASGOW"
"51439","MONCREIFFE ESTATE, FORMER DAIRY","C","12/03/2010","PERTH AND KINROSS","DUNBARNEY"
"51419","RAF LEUCHARS, DOMESTIC SIDE, FORMER SQUASH COURT, BUILDING NO 70","C","08/02/2010","FIFE","LEUCHARS"
"51409","64 HIGH STREET, WEBSTER MEMORIAL THEATRE","C","18/12/2009","ANGUS","ARBROATH"
"51389","13 LOUDOUN STREET, CRAGSTON HOUSE","C","29/10/2009","EAST AYRSHIRE","STEWARTON"
"51382","FASQUE, APPLE HOUSE AND WALLED GARDEN WITH GARDEN HOUSE","B","29/10/2009","ABERDEENSHIRE","FETTERCAIRN"
"51370","DALRY ROAD, CEMETERY HOUSE AND OFFICES, INCLUDING GATES AND GATEPIERS","C","22/09/2009","EAST AYRSHIRE","STEWARTON"
"51363","97 CANAL STREET, MUCKY MULLIGAN'S","C","22/09/2009","PERTH AND KINROSS","PERTH"
"51343","1-8 (CONSECUTIVE NUMBERS) BELFORD MEWS","B","22/07/2009","EDINBURGH, CITY OF","EDINBURGH"
"51326","STIRLING UNIVERSITY CAMPUS, BRIDGE OVER AIRTHREY LOCH","C","15/05/2009","STIRLING","LOGIE"
"51323","STIRLING UNIVERSITY CAMPUS, 2 AND 3 AIRTHREY CASTLE YARD, NUFFIELD STAFF HOUSES, INCLUDING BOUNDARY WALLS","B","15/05/2009","STIRLING","LOGIE"
"51286","PAISLEY ROAD, RENFREW TRINITY CHURCH (CHURCH OF SCOTLAND), INCLUDING BOUNDARY WALLS, GATES AND GATEPIERS","C","04/02/2009","RENFREWSHIRE","RENFREW"
"51264","STRATHBLANE ROAD, NORTH LODGE (ALSO KNOWN AS CRAIGMADDIE LODGE) INCLUDING GATES, RAILINGS AND GATEPIERS (FORMER GLASGOW CORPORATION WATER WORKS)","C","08/12/2008","EAST DUNBARTONSHIRE","BALDERNOCK"
"51221","2, 4 AND 6 NORTH BRIDGE STREET AND 2 CROFT ROAD, INCLUDING STONE GATEPIERS","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51219","1 NORTH BRIDGE STREET","B","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51215","10 LIDDESDALE ROAD, LYNNWOOD LODGE","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51209","47 HIGH STREET","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51161","FETLAR, LEAGARTH HOUSE INCLUDING HALL, WALLED GARDEN AND GATEPIERS","C","16/09/2008","SHETLAND ISLANDS","FETLAR"
"51151","GLEN FINGLAS DAM AND HYDRO-ELECTRIC POWER STATION (FORMER GLASGOW CORPORATION WATER WORKS)","C","18/08/2008","STIRLING","ABERFOYLE"
"51149","CLASHMORE TUNNEL VENTILATION SHAFT ENCLOSURES AND SIGHTING PILLAR (FORMER GLASGOW CORPORATION WATER WORKS)","C","18/08/2008","STIRLING","ABERFOYLE"
"51132","GREENOCK, INVERKIP ROAD, RAVENSCRAIG HOSPITAL, INCLUDING ANCILLARY STRUCTURES","B","09/07/2008","INVERCLYDE","INVERKIP"
"51130","16 FORTH STREET, RAILWAY TAVERN","C","09/07/2008","FIFE","TULLIALLAN"
"51104","722 CUMBERNAULD ROAD, NB LEISURE BINGO, FORMER RIDDRIE PICTURE HOUSE INCLUDING SWEET SHOP AND POWER HOUSE","B","27/05/2008","GLASGOW, CITY OF","GLASGOW"
"51098","40 MILL SQUARE","C","27/05/2008","EAST AYRSHIRE","SORN"
"51095","ALVA WOODLAND PARK, ICEHOUSE","B","21/05/2008","CLACKMANNAN","ALVA"
"51088","ST RONAN'S TERRACE, THE PINES (FORMERLY BELLENDEN) INCLUDING GARDEN WALLS, STEPS, ANCILLARY STRUCTURES, BOUNDARY WALLS GATES AND GATEPIERS","B","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51085","PEEBLES ROAD, ALPINEBIKES, FORMER CONGREGATIONAL CHAPEL","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51082","LEITHEN ROAD, KIRKLANDS FARMHOUSE INCLUDING BOUNDARY WALLS AND GATEPIERS","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51078","13A AND 15 HIGH STREET","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51075","CHURCH STREET, ST ANDREWS EPISCOPAL CHURCH INCLUDING BOUNDARY WALLS AND GATES","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"18822","HUIP FARMHOUSE, WALLED GARDEN AND STEADING","C","22/01/2008","ORKNEY ISLANDS","STRONSAY"
"52307","CARNOUSTIE LADIES' GOLF CLUBHOUSE, BOUNDARY WALLS AND GATEPIERS, 12 LINKS PARADE, CARNOUSTIE","C","06/11/2014","ANGUS","BARRY"
"52229","PLAQUE IN BOUNDARY WALL ONLY, CLACHNAHARRY ROAD, INVERNESS","C","19/06/2014","HIGHLAND","INVERNESS"
"52217","DUN 25, FORMER ROYAL OBSERVER CORPS (ROC) UNDERGROUND MONITORING POST, MAINS OF EDZELL, EDZELL","C","22/05/2014","ANGUS","EDZELL"
"52203","BANCHORY CURLING PAVILION, BURNETT PARK, BANCHORY","C","25/04/2014","ABERDEENSHIRE","BANCHORY"
"52198","WELL HOUSE, OFF MINE ROAD, BRIDGE OF ALLAN","B","17/04/2014","STIRLING","BRIDGE OF ALLAN"
"52164","CARNOUSTIE RUGBY CLUB PAVILION (FORMER TENNIS CLUB PAVILION) EXCLUDING YACHT CLUB EXTENSION TO SOUTH EAST, LINKS PARADE, CARNOUSTIE","C","14/01/2014","ANGUS","BARRY"
"52152","3 ABERTAY GARDENS INCLUDING GARAGE, BARNHILL, DUNDEE","B","07/01/2014","DUNDEE, CITY OF","DUNDEE"
"52133","OLD HILLFOOT ROAD, CASTLEHILL PARISH CHURCH, (CHURCH OF SCOTLAND) INCLUDING CHURCH HALL","C","12/12/2013","SOUTH AYRSHIRE","AYR"
"52092","MONKTON, MONKTONHEAD HOUSE, INCLUDING WELL BUILDING IN GARDEN","B","09/10/2013","SOUTH AYRSHIRE","MONKTON AND PRESTWICK"
"52087","61 SAUGHTON MAINS STREET, ST SALVADOR'S EPISCOPAL CHURCH INCLUDING BOUNDARY WALLS AND GATEPIERS","C","24/09/2013","EDINBURGH, CITY OF","EDINBURGH"
"52077","20F HENRIETTA STREET, CARRICK BUILDINGS, INCLUDING BOUNDARY WALL AND RAILINGS","C","03/09/2013","SOUTH AYRSHIRE","GIRVAN"
"52037","CAPE WRATH, LLOYD'S SIGNAL STATION INCLUDING ADMIRALTY AND LLOYD'S SIGNAL HUT, COTTAGES AND OUTBUILDING","B","29/05/2013","HIGHLAND","DURNESS"
"52017","ISLA STREET AND MAIN STREET, COLDSIDE PARISH CHURCH (FORMER CLEPINGTON AND FAIRMUIR CHURCH) INCLUDING BOYD HALL, GATEPIERS AND BOUNDARY WALLS","C","22/03/2013","DUNDEE, CITY OF","DUNDEE"
"51963","106 ROTTENROW, UNIVERSITY OF STRATHCLYDE, WOLFSON CENTRE","B","04/09/2012","GLASGOW, CITY OF","GLASGOW"
"51945","MONTEVIOT ESTATE, 1-4 (INCLUSIVE NOS) HARESTANES COTTAGES","C","05/07/2012","SCOTTISH BORDERS","CRAILING"
"51915","BANGOUR VILLAGE HOSPITAL, FORMER POWER STATION COMPLEX, INCLUDING  WORKSHOPS AND CHIMNEY STACK","C","17/05/2012","WEST LOTHIAN","ECCLESMACHAN"
"51867","TOWN CENTRE PARK, UNIVERSAL CONNECTIONS (THE KEY YOUTH CENTRE)","C","26/01/2012","SOUTH LANARKSHIRE","EAST KILBRIDE"
"51858","ELLIOT, NORTH OF  A92, FORMER ROYAL OBSERVER CORPS UNDERGROUND MONITORING POST","C","21/12/2011","ANGUS","ARBIRLOT"
"51844","BOQUHAN, PRINCE'S WELL","C","18/11/2011","STIRLING","KIPPEN"
"51843","BOQUHAN, WEST LODGE AND WEST GATEPIERS AND QUADRANT WALLS","B","18/11/2011","STIRLING","KIPPEN"
"51833","KINLOCHLEVEN HYDROELECTRIC SCHEME AND FORMER ALUMINIUM SMELTER, BLACKWATER DAM, INCLUDING CONTROL TOWER. EXCLUDING AQUEDUCT TO WEST","A","14/11/2011","HIGHLAND","LISMORE AND APPIN"
"51782","TWATT AIRFIELD (FORMER HMS TERN), PILLBOXES","C","15/07/2011","ORKNEY ISLANDS","BIRSAY AND HARRAY"
"51772","1-63 (INCLUSIVE NOS) CLAREMONT COURT INCLUDING LOCKUP GARAGES","C","19/07/2011","EDINBURGH, CITY OF","EDINBURGH"
"51748","42 PENNYWELL GARDENS, MUIRHOUSE ST ANDREWS PARISH CHURCH AND HALLS (CHURCH OF SCOTLAND)","C","03/06/2011","EDINBURGH, CITY OF","EDINBURGH"
"51719","FALLS OF CLYDE, STONEBYRES POWER STATION WITH TANK AND PIPES","A","11/02/2011","SOUTH LANARKSHIRE","LANARK"
"51701","FOYERS HYDROELECTRIC POWER SCHEME AND FORMER ALUMINIUM SMELTER, RIVER TARFF INTAKE","C","11/02/2011","HIGHLAND","BOLESKINE AND ABERTARFF"
"51698","GALLOWAY HYDROELECTRIC POWER SCHEME, TONGLAND DAM","B","11/02/2011","DUMFRIES AND GALLOWAY","KIRKCUDBRIGHT"
"51657","CRAIGENTINNY ROAD, ST CHRISTOPHER'S CHURCH AND HALL INCLUDING BOUNDARY WALLS","C","17/12/2010","EDINBURGH, CITY OF","EDINBURGH"
"51614","CLAREBRAND, BURNBRAE INCLUDING ANCILLARY BUILDING AND BOUNDARY WALL","C","05/10/2010","DUMFRIES AND GALLOWAY","CROSSMICHAEL"
"51611","BRIDGE OF LINTRATHEN, FINGERPOST","C","05/10/2010","ANGUS","LINTRATHEN"
"51607","HALLYBURTON ESTATE, SUNDIAL","A","05/10/2010","PERTH AND KINROSS","KETTINS"
"51606","HALLYBURTON ESTATE, STABLES AND ANCILLARY BUILDING","B","05/10/2010","PERTH AND KINROSS","KETTINS"
"51595","COREHOUSE CONSERVATORY AND FLOWER GARDEN WALLS, GATEPIERS AND GATES","B","16/09/2010","SOUTH LANARKSHIRE","LESMAHAGOW"
"51576","WHITELEE HOUSE, BY GALASHIELS","C","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51563","GATTONSIDE HOUSE, EAST LODGE INCLUDING GATEPIERS","C","22/07/2010","SCOTTISH BORDERS","MELROSE"
"51542","102-104 GRAHAMS ROAD, FORMER ODDFELLOWS HALL","C","24/05/2010","FALKIRK","FALKIRK"
"51537","58 BRIDGE STREET AND 2 AND 4 NELSON STREET, THE LAURIESTON BAR","C","29/04/2010","GLASGOW, CITY OF","GLASGOW"
"51505","EASTER BALMORAL, CRAIG GOWAN, MEMORIAL DRINKING BASIN","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51494","BALMORAL CASTLE, STATUE OF PRINCE ALBERT","A","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51495","BALMORAL CASTLE, STATUE OF QUEEN VICTORIA","A","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51488","BALMORAL CASTLE, ROE DEER STATUE BY EASTERN PARTERRE","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51479","BALMORAL CASTLE, IRON BALLROOM, JOINER'S WORKSHOP","A","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51474","BALMORAL CASTLE, GAME LARDERS","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51467","BALMORAL CASTLE, THE CROFT, KENNELS","C","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51461","BALMORAL CASTLE, BAILE-NA-COILLE, INCLUDING STEADING AND GAME LARDER","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51520","INVERGELDER STEADING WITH TOOL SHED, FUEL STORE, SAWMILL AND BANKED WALLS","B","12/03/2010","ABERDEENSHIRE","CRATHIE AND BRAEMAR"
"51453","GLENMUIK, ALLT-NA-GIUBHSAICH COTTAGE AND GAME LARDER","B","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51449","BIRKHALL, STABLES (GARAGE)","B","12/03/2010","ABERDEENSHIRE","GLENMUICK, TULLICH AND GLENGAIRN"
"51441","MONCREIFFE ESTATE, GARDEN COTTAGE, EAST AND WEST","C","12/03/2010","PERTH AND KINROSS","DUNBARNEY"
"51392","LUDGATE, CLAREMONT WORKSHOPS, NORTH BUILDING (FORMER LUDGATE INFANT SCHOOL) INCLUDING BOUNDARY WALLS,   RAILINGS, GATEPIERS AND GATE","C","09/11/2009","CLACKMANNAN","ALLOA"
"51386","FASQUE, BOGENDOLLO","C","29/10/2009","ABERDEENSHIRE","FETTERCAIRN"
"51369","46-50 (EVEN NOS) SOUTH STREET","C","22/09/2009","PERTH AND KINROSS","PERTH"
"51365","POMARIUM STREET, FREE PRESBYTERIAN CHURCH OF SCOTLAND, INCLUDING ADJOINING FLAT","C","22/09/2009","PERTH AND KINROSS","PERTH"
"51354","COLINSBURGH, 50 MAIN STREET, GALLOWAY LIBRARY INCLUDING BOUNDARY WALLS","B","02/09/2009","FIFE","KILCONQUHAR"
"51297","BURN HOUSE, NORTH LODGE, FORMER STABLES","C","17/03/2009","SCOTTISH BORDERS","STOW"
"51254","EAST MAIN STREET, BRUCEFIELD CHURCH (CHURCH OF SCOTLAND) WITH COURTYARD AND CHURCH HALLS (INCLUDING FORMER CHURCH)","A","04/12/2008","WEST LOTHIAN","WHITBURN"
"51250","CELLARDYKE, EAST END, KILRENNY WAR MEMORIAL INCLUDING RAILINGS","B","26/11/2008","FIFE","KILRENNY"
"51231","SUNNYHILL ROAD, EAST LANGLANDS LODGE, INCLUDING GATEPIER AND BOUNDARY WALL","C","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51226","ROADHEAD, NORWOOD","B","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51191","22 BOURTREE PLACE, HAWICK CONSERVATIVE CLUB","B","18/11/2008","SCOTTISH BORDERS","HAWICK"
"51178","HOLYROODHOUSE, STABLES","B","26/09/2008","EDINBURGH, CITY OF","EDINBURGH"
"51172","65-71 (ODD NOS) AND 97-103 (ODD NOS) CANONGATE INCLUDING 1-3 (INCLUSIVE NOS) BROWN'S CLOSE","B","26/09/2008","EDINBURGH, CITY OF","EDINBURGH"
"51170","55 ABBEYHILL","B","26/09/2008","EDINBURGH, CITY OF","EDINBURGH"
"51147","SPITTAL GLEN, BALLEWAN AQUEDUCT BRIDGE (FORMER GLASGOW CORPORATION WATER WORKS)","B","18/08/2008","STIRLING","STRATHBLANE"
"51109","CRAWFORD STREET, RED LION INN","C","02/06/2008","SCOTTISH BORDERS","KELSO"
"51105","19, 21 GEORGE PLACE, PAVILION BINGO (FORMER PAVILION CINEMA)","C","27/05/2008","WEST LOTHIAN","BATHGATE"
"51089","ST RONAN'S TERRACE, TIENDSIDE INCLUDING BOUNDARY WALLS","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51083","LEITHEN ROAD, LEITHEN BANK","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51079","2 HIGH STREET, BANK OF SCOTLAND","C","21/05/2008","SCOTTISH BORDERS","INNERLEITHEN"
"51069","WEST LINTON, THE LOAN, SRONGARBH INCLUDING RAILINGS, BOUNDARY WALLS, GARAGES, GARDEN TERRACES AND STEPS, SWIMMING POOL, PAVILION AND OTHER ANCILLARY STRUCTURES","A","01/05/2008","SCOTTISH BORDERS","LINTON"
"51059","CATHEDRAL SQUARE, POLICE BOX","B","04/03/2008","GLASGOW, CITY OF","GLASGOW"
"6195","EDAY KIRK (CHURCH OF SCOTLAND) WITH BOUNDARY WALL","C","22/01/2008","ORKNEY ISLANDS","EDAY"
"52313","BINGHILL HOUSE, MILLTIMBER","C","11/11/2014","ABERDEEN, CITY OF","PETERCULTER"
"52319","SECOND WORLD WAR AIR RAID SHELTER, SCAPA FLOW VISITOR CENTRE AND MUSEUM, LYNESS","C","20/11/2014","ORKNEY ISLANDS","WALLS AND FLOTTA"
"52318","UNDERGROUND FUEL RESERVOIR, WEE FEA, LYNESS, HOY","A","20/11/2014","ORKNEY ISLANDS","WALLS AND FLOTTA"
"52312","MATTHEW BUILDING, UNIVERSITY OF DUNDEE, 13 PERTH ROAD, DUNDEE","B","11/11/2014","DUNDEE, CITY OF","DUNDEE"
"52287","CHESTERHILL HOUSE INCLUDING WALLED GARDEN, NEAR NEWPORT ON TAY","C","07/10/2014","FIFE","NEWPORT-ON-TAY"
"52237","FORMER MORTUARY, STOBHILL HOSPITAL, BALORNOCK ROAD, GLASGOW","C","19/06/2014","GLASGOW, CITY OF","GLASGOW"
"52230","TOMNAHURICH BRIDGE KEEPER'S COTTAGE, CALEDONIAN CANAL, INVERNESS","C","19/06/2014","HIGHLAND","INVERNESS"
"52228","THE WHITEHOUSE INN, FORTH AND CLYDE CANAL, 1647 MARYHILL ROAD, GLASGOW","C","19/06/2014","GLASGOW, CITY OF","GLASGOW"
"52226","LOCK KEEPER'S BOTHY, FORTH AND CLYDE CANAL, BOWLING HARBOUR, BOWLING","C","19/06/2014","WEST DUNBARTONSHIRE","OLD KILPATRICK"
"52224","HARBOUR HOUSE AND COFFEE SHOP (FORMER POST OFFICE), CRINAN CANAL BASIN, CRINAN","C","19/06/2014","ARGYLL AND BUTE","NORTH KNAPDALE"
"52213","WATER HOUSE, PITLOUR HOUSE, STRATHMIGLO","C","19/05/2014","FIFE","STRATHMIGLO"
"52188","ST ANDREWS ROMAN CATHOLIC CHURCH INCLUDING ENTRANCE WALL, 126 VICTORIA STREET, CRAIGSHILL, LIVINGSTON","B","26/03/2014","WEST LOTHIAN","LIVINGSTON"
"52160","SIMPSONS GOLF SHOP, 6 LINKS PARADE, CARNOUSTIE","B","14/01/2014","ANGUS","BARRY"
"52143","ST NICHOLAS PARISH CHURCH (CHURCH OF SCOTLAND) INCLUDING HALLS AND CHURCH OFFICERS ACCOMMODATION, 124 SIGHTHILL LOAN, 517-519 CALDER ROAD, WESTER HAILES ROAD, EDINBURGH","B","17/12/2013","EDINBURGH, CITY OF","EDINBURGH"
"52132","HAMILTON PARK RACECOURSE, WEIGHING ROOM BOTHWELL ROAD, HAMILTON","C","12/12/2013","SOUTH LANARKSHIRE","HAMILTON"
"52109","SOUTHPARK HOUSE, SOUTHPARK AND WOODWYND, INCLUDING GARDEN WALL, SOUTHWOOD ROAD, TROON (EXCLUDING FLAT-ROOFED EXTENSION TO EAST)","C","31/10/2013","SOUTH AYRSHIRE","DUNDONALD"
"52105","3 MILLHILL, MUSSELBURGH RACECOURSE, OLD STAND","C","31/10/2013","EAST LOTHIAN","MUSSELBURGH"
"52044","HILLSIDE, FORMER SUNNYSIDE HOSPITAL, FORMER HOSPITAL BUILDING","B","12/06/2013","ANGUS","MONTROSE"
"52002","2060 POLLOKSHAWS ROAD, POLLOK COUNTRY PARK, THE BURRELL COLLECTION","A","23/01/2013","GLASGOW, CITY OF","GLASGOW"
